0,SansText,That One Day...,,,,,
0,SansText,Were All Gonna Die,,,,,
0,SansText,That We All Dont             Matter.,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.2,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.5,BoneV,503,286,100,2,300,1
0.23333,BoneV,503,366,20,2,300,0
0.93333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.33333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
0.33333,BoneV,128,366,20,0,300,0
0.4,BoneV,128,286,100,0,300,1
1.66666,SansText,....,,,,,
1.66666,SansHead,Tired2,,,,,,,
1.66666,SansSweat,3,,,,,,,
1.66666,SansAnimation,Tired,,,,,,,
1.66666,SansText,Wow Im Sweating             Already....,,,,,
1.66666,SansText,Dont Get Cocky               tho,,,,,
1.66666,EndAttack,,,,,
 
